Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Garage,Floors,Crime_Rate,House_Price
3674,4,3,9,16.88,1,2,5.27,632163.28
1360,2,2,48,24.7,1,2,5.67,214158.53
1794,3,2,46,14.12,2,3,4.47,358882.57
1630,4,3,11,19.66,0,1,6.1,320691.66
1595,5,3,15,16.27,2,3,9.2,354889.75
3592,1,2,23,22.22,0,2,3.69,534041.3
2138,5,2,18,3.37,0,1,7.28,390389.52
2669,4,1,7,2.75,1,1,8.96,484735.24
966,4,2,30,8.17,2,3,4.61,255692.39
1738,4,2,20,5.63,1,2,4.49,352166.17
830,5,3,16,26.28,2,3,6.06,169630.3
1982,4,2,22,7.36,0,3,5.95,386961.19
2635,5,1,36,29.3,1,3,8.09,397323.7
3944,4,2,15,10.77,1,1,4.82,659699.75
3671,3,3,5,6.28,0,1,9.96,623297.75
3419,4,3,7,23.9,0,2,0.69,559472.02
630,5,2,24,20.1,0,2,0.13,138609.98
2185,2,3,17,15.45,1,3,6.44,366417.49
3880,4,1,24,17.11,2,3,3.05,649325.05
1269,2,1,11,21.86,1,3,2.48,236369.08
2891,3,2,14,7.63,2,2,3.19,540672.88
2015,1,2,25,29.89,1,1,2.63,315782.43
3985,3,2,40,29.27,1,1,0.4,592569.1
3353,4,3,44,19.86,0,3,9.72,509368.83
2933,2,1,25,6.79,2,3,2.29,520583.0
1715,2,1,46,20.73,1,3,7.37,253035.27
1455,5,3,31,3.09,1,3,7.65,323973.3
2824,2,1,9,1.89,0,2,9.3,487064.99
1684,5,2,15,8.47,0,1,0.4,327828.39
959,1,2,6,14.42,2,3,8.73,182128.63
3885,4,2,16,26.18,1,2,5.32,605390.11
521,5,1,22,22.09,2,3,6.36,141961.19
2800,1,2,25,22.54,1,3,6.48,452349.61
1247,2,3,20,13.34,2,1,8.22,270818.46
3404,2,3,21,11.03,0,3,3.4,585699.46
974,1,1,6,11.76,1,1,7.36,179738.13
1582,2,3,13,29.64,2,1,5.33,276318.28
3058,1,3,14,2.16,0,1,7.95,527473.29
2547,5,1,6,26.14,0,2,9.91,395071.92
3247,5,2,8,17.78,2,2,2.09,560743.47
